command: ['/home/user/anaconda3/envs/evo/bin/python', 'train.py', '--config', 'config.json', '--data-dir', '/mnt/d/tehpengagent/src/kuairand-starter-kit/KuaiRand-Pure/data', '--output', '/mnt/d/tehpengagent/src/ernest/runs/run_3/attempts/attempt_6e17fb2b537e/predictions_valid.npz']
elapsed_seconds: 15.953
return_code: 0
--- stdout ---
epoch=1 loss=0.612228 valid_gauc_proxy=0.634330
epoch=2 loss=0.551660 valid_gauc_proxy=0.642001
epoch=3 loss=0.535125 valid_gauc_proxy=0.646056
epoch=4 loss=0.527947 valid_gauc_proxy=0.648046
epoch=5 loss=0.524209 valid_gauc_proxy=0.648500
epoch=6 loss=0.521979 valid_gauc_proxy=0.648893
epoch=7 loss=0.520721 valid_gauc_proxy=0.649869
epoch=8 loss=0.519789 valid_gauc_proxy=0.649838
epoch=9 loss=0.519243 valid_gauc_proxy=0.649780
epoch=10 loss=0.518790 valid_gauc_proxy=0.649759

--- stderr ---
