command: ['/home/user/anaconda3/envs/evo/bin/python', 'train.py', '--config', 'config.json', '--data-dir', '/mnt/d/tehpengagent/src/kuairand-starter-kit/KuaiRand-Pure/data', '--output', '/mnt/d/tehpengagent/src/ernest/runs/run_4/attempts/attempt_11a9a6b59654/predictions_valid.npz']
elapsed_seconds: 62.831
return_code: 0
--- stdout ---
epoch=1 loss=0.610482 valid_gauc_proxy=0.654838
epoch=2 loss=0.566370 valid_gauc_proxy=0.658488
epoch=3 loss=0.556839 valid_gauc_proxy=0.661386
epoch=4 loss=0.552864 valid_gauc_proxy=0.662687
epoch=5 loss=0.552975 valid_gauc_proxy=0.664988
epoch=6 loss=0.548319 valid_gauc_proxy=0.664853
epoch=7 loss=0.549772 valid_gauc_proxy=0.666421
epoch=8 loss=0.547132 valid_gauc_proxy=0.665364
epoch=9 loss=0.547169 valid_gauc_proxy=0.664136
epoch=10 loss=0.544561 valid_gauc_proxy=0.663591

--- stderr ---
