command: ['/home/user/anaconda3/envs/evo/bin/python', 'train.py', '--config', 'config.json', '--data-dir', '/mnt/d/tehpengagent/src/kuairand-starter-kit/KuaiRand-Pure/data', '--output', '/mnt/d/tehpengagent/src/ernest/runs/run_9/attempts/attempt_09c497d4681c/predictions_valid.npz']
elapsed_seconds: 40.194
return_code: 0
--- stdout ---
epoch=1 loss=0.630885 valid_GAUC=0.655837 valid_nDCG@5=0.531036 valid_primary=0.593436
epoch=2 loss=0.562800 valid_GAUC=0.661298 valid_nDCG@5=0.532652 valid_primary=0.596975
epoch=3 loss=0.555195 valid_GAUC=0.661856 valid_nDCG@5=0.533551 valid_primary=0.597704
epoch=4 loss=0.553735 valid_GAUC=0.662847 valid_nDCG@5=0.534273 valid_primary=0.598560
epoch=5 loss=0.550923 valid_GAUC=0.665176 valid_nDCG@5=0.534932 valid_primary=0.600054
epoch=6 loss=0.547250 valid_GAUC=0.662786 valid_nDCG@5=0.533706 valid_primary=0.598246
epoch=7 loss=0.546606 valid_GAUC=0.664294 valid_nDCG@5=0.534528 valid_primary=0.599411
epoch=8 loss=0.545963 valid_GAUC=0.663608 valid_nDCG@5=0.534429 valid_primary=0.599018
epoch=9 loss=0.541880 valid_GAUC=0.664639 valid_nDCG@5=0.534607 valid_primary=0.599623

--- stderr ---
