command: ['/home/user/anaconda3/envs/evo/bin/python', 'train.py', '--config', 'config.json', '--data-dir', '/mnt/d/parlliament/src/kuairand-starter-kit/KuaiRand-Pure/data', '--output', '/mnt/d/parlliament/src/parlliament/runs/run_1/attempts/attempt_71006b4c3033/predictions_valid.npz']
elapsed_seconds: 25.314
return_code: 0
--- stdout ---
epoch=1 loss=0.561674 valid_gauc_proxy=0.658832
epoch=2 loss=0.523295 valid_gauc_proxy=0.663265
epoch=3 loss=0.511430 valid_gauc_proxy=0.665068
epoch=4 loss=0.505838 valid_gauc_proxy=0.666116
epoch=5 loss=0.502736 valid_gauc_proxy=0.667702
epoch=6 loss=0.500817 valid_gauc_proxy=0.668073
epoch=7 loss=0.499710 valid_gauc_proxy=0.668826
epoch=8 loss=0.498856 valid_gauc_proxy=0.669129
epoch=9 loss=0.498375 valid_gauc_proxy=0.668902
epoch=10 loss=0.497902 valid_gauc_proxy=0.668656

--- stderr ---
