command: ['/home/user/anaconda3/envs/evo/bin/python', 'train.py', '--config', 'config.json', '--data-dir', '/mnt/d/parlliament/src/kuairand-starter-kit/KuaiRand-Pure/data', '--output', '/mnt/d/parlliament/src/parlliament/runs/run_2/attempts/attempt_8380774588d0/predictions_valid.npz']
elapsed_seconds: 19.010
return_code: 0
--- stdout ---
epoch=1 loss=0.568648 valid_gauc_proxy=0.660976
epoch=2 loss=0.512756 valid_gauc_proxy=0.665591
epoch=3 loss=0.501490 valid_gauc_proxy=0.668821
epoch=4 loss=0.496891 valid_gauc_proxy=0.669178
epoch=5 loss=0.494444 valid_gauc_proxy=0.669391
epoch=6 loss=0.492882 valid_gauc_proxy=0.669532
epoch=7 loss=0.491983 valid_gauc_proxy=0.669935
epoch=8 loss=0.491268 valid_gauc_proxy=0.669453
epoch=9 loss=0.490829 valid_gauc_proxy=0.669407
epoch=10 loss=0.490393 valid_gauc_proxy=0.669086

--- stderr ---
